Image,RBC_GT_Count,RBC_GT_Positions,RBC_Raw_Count,RBC_Raw_Count_Acc,RBC_Raw_Spatial_Acc,RBC_Raw_Prec,RBC_Raw_Positions,RBC_Filt_Count,RBC_Filt_Count_Acc,RBC_Filt_Spatial_Acc,RBC_Filt_Prec,RBC_Filt_Positions,Plat_GT_Count,Plat_GT_Positions,Plat_Raw_Count,Plat_Raw_Count_Acc,Plat_Raw_Spatial_Acc,Plat_Raw_Prec,Plat_Raw_Positions,Plat_Filt_Count,Plat_Filt_Count_Acc,Plat_Filt_Spatial_Acc,Plat_Filt_Prec,Plat_Filt_Positions
BloodImage_00000.jpg,11,"[(359, 216, 464, 316), (326, 77, 431, 177), (353, 540, 458, 640), (350, 405, 457, 513), (72, 160, 177, 245), (335, 5, 440, 90), (39, 540, 149, 640), (1, 383, 113, 504), (82, 9, 168, 108), (212, 68, 346, 165), (181, 171, 282, 264)]",25,0.0,0.2,0.24,"[(1, 224, 67, 356), (1, 535, 54, 609), (1, 1, 130, 109), (24, 359, 199, 484), (1, 89, 46, 146), (45, 508, 143, 634), (108, 204, 280, 315), (95, 166, 178, 244), (106, 17, 164, 127), (137, 526, 217, 628), (156, 78, 274, 242), (174, 467, 366, 639), (191, 1, 271, 30), (227, 75, 341, 157), (231, 601, 263, 639), (276, 212, 309, 256), (334, 386, 440, 509), (341, 33, 388, 147), (381, 417, 437, 474), (381, 78, 428, 161), (380, 222, 479, 334), (402, 1, 479, 85), (395, 560, 479, 639), (429, 473, 479, 553), (456, 326, 479, 343)]",17,0.455,0.273,0.353,"[(1, 224, 67, 356), (1, 535, 54, 609), (1, 1, 130, 109), (45, 508, 143, 634), (108, 204, 280, 315), (95, 166, 178, 244), (106, 17, 164, 127), (137, 526, 217, 628), (156, 78, 274, 242), (191, 1, 271, 30), (227, 75, 341, 157), (334, 386, 440, 509), (381, 417, 437, 474), (381, 78, 428, 161), (380, 222, 479, 334), (402, 1, 479, 85), (395, 560, 479, 639)]",0,[],1,0.0,0.0,0.0,"[(183, 295, 353, 483)]",0,1.0,0.0,0.0,[]
BloodImage_00001.jpg,11,"[(342, 284, 449, 365), (366, 334, 454, 448), (286, 412, 386, 542), (1, 435, 70, 569), (178, 51, 295, 150), (1, 140, 110, 230), (131, 458, 220, 550), (168, 269, 267, 346), (161, 166, 261, 248), (94, 1, 194, 82), (30, 12, 134, 105)]",27,0.0,0.226,0.259,"[(1, 1, 46, 40), (1, 139, 116, 239), (1, 287, 68, 409), (1, 480, 63, 564), (1, 439, 58, 510), (1, 572, 83, 639), (48, 1, 140, 84), (69, 552, 155, 627), (84, 286, 108, 314), (94, 187, 267, 411), (102, 306, 162, 399), (135, 1, 189, 69), (139, 467, 291, 559), (174, 171, 260, 255), (240, 552, 366, 639), (237, 50, 288, 126), (250, 1, 364, 112), (261, 421, 379, 557), (343, 530, 399, 578), (350, 258, 479, 370), (361, 606, 412, 639), (389, 1, 474, 60), (368, 363, 450, 440), (444, 201, 475, 257), (455, 560, 479, 627), (449, 439, 479, 526), (465, 356, 479, 371)]",17,0.455,0.273,0.353,"[(1, 139, 116, 239), (1, 287, 68, 409), (1, 480, 63, 564), (1, 439, 58, 510), (1, 572, 83, 639), (48, 1, 140, 84), (69, 552, 155, 627), (102, 306, 162, 399), (135, 1, 189, 69), (139, 467, 291, 559), (174, 171, 260, 255), (240, 552, 366, 639), (237, 50, 288, 126), (250, 1, 364, 112), (261, 421, 379, 557), (350, 258, 479, 370), (389, 1, 474, 60)]",0,[],1,0.0,0.0,0.0,"[(328, 99, 471, 265)]",0,1.0,0.0,0.0,[]
BloodImage_00002.jpg,14,"[(355, 133, 444, 231), (404, 257, 480, 375), (99, 373, 207, 515), (165, 384, 257, 502), (1, 112, 124, 206), (127, 102, 226, 223), (261, 365, 375, 454), (231, 494, 345, 588), (101, 538, 227, 629), (79, 1, 206, 102), (218, 11, 342, 111), (146, 244, 242, 388), (292, 579, 400, 640), (374, 481, 477, 589)]",35,0.0,0.225,0.257,"[(1, 90, 7, 137), (1, 235, 141, 393), (1, 565, 72, 639), (16, 1, 95, 42), (22, 120, 161, 219), (85, 372, 113, 400), (87, 611, 159, 639), (88, 7, 139, 78), (109, 408, 197, 497), (111, 550, 149, 587), (112, 5, 232, 100), (129, 297, 181, 349), (136, 546, 246, 639), (142, 112, 216, 190), (173, 180, 311, 368), (205, 1, 335, 83), (204, 394, 255, 488), (239, 627, 266, 639), (247, 501, 308, 574), (274, 59, 332, 107), (278, 378, 382, 481), (279, 81, 408, 199), (286, 539, 344, 626), (291, 222, 334, 279), (296, 470, 384, 563), (314, 305, 479, 458), (316, 290, 365, 333), (317, 588, 416, 639), (322, 1, 387, 35), (350, 1, 463, 79), (363, 167, 461, 229), (366, 437, 446, 519), (369, 516, 459, 606), (409, 258, 479, 366), (446, 499, 479, 543)]",21,0.5,0.346,0.429,"[(1, 565, 72, 639), (16, 1, 95, 42), (22, 120, 161, 219), (88, 7, 139, 78), (109, 408, 197, 497), (112, 5, 232, 100), (129, 297, 181, 349), (136, 546, 246, 639), (142, 112, 216, 190), (205, 1, 335, 83), (247, 501, 308, 574), (278, 378, 382, 481), (279, 81, 408, 199), (286, 539, 344, 626), (296, 470, 384, 563), (317, 588, 416, 639), (350, 1, 463, 79), (363, 167, 461, 229), (366, 437, 446, 519), (369, 516, 459, 606), (409, 258, 479, 366)]",0,[],1,0.0,0.0,0.0,"[(0, 336, 92, 508)]",0,1.0,0.0,0.0,[]
BloodImage_00003.jpg,11,"[(359, 367, 450, 483), (208, 510, 299, 621), (279, 319, 374, 417), (95, 315, 197, 426), (145, 377, 240, 475), (16, 521, 141, 609), (1, 411, 86, 516), (70, 61, 217, 149), (255, 220, 376, 332), (201, 51, 322, 163), (385, 514, 480, 601)]",21,0.091,0.391,0.429,"[(1, 1, 94, 134), (1, 274, 61, 405), (1, 500, 48, 601), (20, 539, 117, 601), (1, 422, 78, 511), (67, 530, 131, 575), (78, 17, 209, 140), (105, 322, 189, 412), (170, 431, 208, 474), (175, 384, 351, 543), (212, 51, 233, 63), (221, 528, 299, 606), (224, 58, 317, 169), (270, 163, 325, 221), (274, 226, 363, 318), (296, 327, 368, 412), (299, 1, 376, 55), (338, 59, 479, 228), (364, 624, 407, 639), (372, 522, 479, 594), (448, 488, 479, 529)]",15,0.636,0.529,0.6,"[(1, 1, 94, 134), (1, 274, 61, 405), (1, 500, 48, 601), (20, 539, 117, 601), (1, 422, 78, 511), (67, 530, 131, 575), (78, 17, 209, 140), (105, 322, 189, 412), (221, 528, 299, 606), (224, 58, 317, 169), (270, 163, 325, 221), (274, 226, 363, 318), (296, 327, 368, 412), (299, 1, 376, 55), (372, 522, 479, 594)]",0,[],5,0.0,0.0,0.0,"[(56, 150, 208, 318), (262, 564, 281, 584), (274, 345, 294, 361), (386, 373, 397, 384), (438, 607, 456, 628)]",4,0.0,0.0,0.0,"[(262, 564, 281, 584), (274, 345, 294, 361), (386, 373, 397, 384), (438, 607, 456, 628)]"
BloodImage_00004.jpg,10,"[(361, 482, 468, 593), (223, 425, 330, 536), (359, 351, 466, 462), (63, 406, 186, 529), (251, 1, 373, 89), (77, 2, 196, 94), (111, 514, 203, 603), (275, 80, 373, 165), (1, 32, 68, 146), (40, 282, 135, 386)]",23,0.0,0.1,0.13,"[(1, 1, 150, 97), (1, 216, 63, 391), (1, 386, 23, 421), (1, 452, 91, 623), (63, 567, 107, 631), (97, 422, 152, 463), (108, 295, 263, 424), (143, 268, 174, 286), (165, 448, 238, 532), (126, 490, 239, 583), (191, 351, 263, 474), (206, 19, 236, 44), (190, 76, 258, 129), (186, 619, 281, 639), (245, 1, 359, 133), (284, 116, 328, 159), (336, 1, 367, 17), (322, 288, 384, 339), (337, 345, 423, 402), (372, 489, 479, 588), (383, 337, 479, 455), (391, 314, 445, 374), (436, 283, 479, 342)]",13,0.7,0.15,0.231,"[(1, 1, 150, 97), (1, 216, 63, 391), (1, 452, 91, 623), (63, 567, 107, 631), (108, 295, 263, 424), (165, 448, 238, 532), (126, 490, 239, 583), (191, 351, 263, 474), (245, 1, 359, 133), (337, 345, 423, 402), (372, 489, 479, 588), (383, 337, 479, 455), (436, 283, 479, 342)]",0,[],2,0.0,0.0,0.0,"[(64, 138, 74, 147), (160, 146, 310, 315)]",1,0.0,0.0,0.0,"[(64, 138, 74, 147)]"
BloodImage_00005.jpg,15,"[(41, 423, 168, 509), (74, 529, 210, 640), (349, 434, 466, 573), (208, 473, 320, 578), (184, 373, 296, 478), (170, 437, 266, 517), (118, 282, 216, 382), (170, 209, 270, 322), (235, 31, 329, 128), (305, 145, 414, 237), (391, 114, 480, 217), (110, 52, 203, 158), (1, 330, 93, 436), (1, 171, 77, 261), (69, 1, 168, 93)]",23,0.467,0.188,0.261,"[(1, 1, 55, 127), (1, 113, 84, 160), (1, 197, 121, 357), (1, 398, 52, 523), (70, 430, 138, 498), (83, 1, 158, 83), (91, 540, 200, 627), (121, 89, 183, 150), (122, 66, 198, 130), (135, 295, 208, 371), (155, 126, 307, 330), (157, 519, 216, 546), (180, 387, 287, 532), (194, 1, 251, 47), (256, 64, 324, 128), (278, 485, 311, 529), (296, 1, 377, 40), (322, 167, 403, 238), (343, 72, 479, 243), (360, 430, 460, 546), (390, 416, 431, 447), (463, 625, 479, 639), (430, 203, 479, 319)]",15,1.0,0.25,0.4,"[(1, 1, 55, 127), (1, 113, 84, 160), (1, 398, 52, 523), (70, 430, 138, 498), (83, 1, 158, 83), (91, 540, 200, 627), (121, 89, 183, 150), (122, 66, 198, 130), (135, 295, 208, 371), (180, 387, 287, 532), (194, 1, 251, 47), (256, 64, 324, 128), (296, 1, 377, 40), (322, 167, 403, 238), (360, 430, 460, 546)]",0,[],6,0.0,0.0,0.0,"[(72, 182, 88, 196), (319, 142, 325, 150), (329, 245, 416, 437), (332, 186, 350, 205), (406, 18, 423, 35), (406, 316, 468, 410)]",4,0.0,0.0,0.0,"[(72, 182, 88, 196), (319, 142, 325, 150), (332, 186, 350, 205), (406, 18, 423, 35)]"
BloodImage_00006.jpg,9,"[(316, 361, 458, 476), (299, 221, 439, 372), (351, 84, 456, 198), (1, 501, 109, 615), (208, 479, 317, 593), (53, 18, 163, 132), (375, 547, 480, 640), (131, 371, 240, 485), (104, 286, 189, 398)]",21,0.0,0.154,0.19,"[(1, 98, 44, 185), (1, 228, 65, 308), (1, 369, 218, 567), (73, 1, 280, 121), (82, 225, 148, 292), (109, 258, 179, 344), (95, 621, 169, 639), (131, 114, 218, 213), (171, 496, 316, 619), (173, 565, 245, 610), (114, 371, 233, 433), (184, 254, 241, 288), (272, 603, 363, 639), (314, 234, 421, 362), (336, 366, 459, 472), (338, 490, 390, 532), (327, 1, 388, 17), (381, 466, 479, 559), (382, 1, 479, 144), (388, 547, 479, 639), (392, 152, 479, 221)]",15,0.333,0.2,0.267,"[(1, 98, 44, 185), (1, 228, 65, 308), (82, 225, 148, 292), (109, 258, 179, 344), (131, 114, 218, 213), (171, 496, 316, 619), (173, 565, 245, 610), (114, 371, 233, 433), (272, 603, 363, 639), (314, 234, 421, 362), (336, 366, 459, 472), (381, 466, 479, 559), (382, 1, 479, 144), (388, 547, 479, 639), (392, 152, 479, 221)]",0,[],5,0.0,0.0,0.0,"[(0, 346, 13, 359), (187, 101, 214, 125), (199, 132, 340, 280), (214, 75, 231, 94), (219, 456, 224, 463)]",3,0.0,0.0,0.0,"[(0, 346, 13, 359), (214, 75, 231, 94), (219, 456, 224, 463)]"
BloodImage_00007.jpg,11,"[(292, 24, 397, 139), (375, 67, 480, 182), (297, 490, 402, 605), (371, 525, 476, 640), (270, 153, 356, 276), (322, 230, 407, 305), (335, 289, 420, 364), (13, 506, 144, 638), (1, 285, 89, 400), (137, 33, 226, 148), (170, 494, 304, 625)]",17,0.455,0.167,0.235,"[(1, 159, 152, 383), (1, 347, 14, 374), (1, 593, 24, 639), (23, 524, 126, 601), (48, 1, 268, 173), (74, 569, 154, 639), (92, 365, 276, 476), (156, 609, 201, 639), (161, 508, 296, 639), (274, 297, 437, 453), (281, 177, 385, 256), (307, 30, 479, 173), (309, 507, 394, 589), (337, 243, 406, 322), (381, 544, 479, 639), (424, 165, 450, 176), (438, 259, 479, 410)]",8,0.727,0.188,0.375,"[(23, 524, 126, 601), (74, 569, 154, 639), (92, 365, 276, 476), (281, 177, 385, 256), (309, 507, 394, 589), (337, 243, 406, 322), (381, 544, 479, 639), (438, 259, 479, 410)]",0,[],3,0.0,0.0,0.0,"[(16, 210, 33, 223), (97, 249, 246, 394), (276, 440, 285, 450)]",2,0.0,0.0,0.0,"[(16, 210, 33, 223), (276, 440, 285, 450)]"
BloodImage_00008.jpg,11,"[(227, 405, 330, 512), (109, 516, 217, 636), (44, 331, 152, 451), (23, 224, 116, 339), (317, 377, 412, 480), (168, 1, 293, 95), (1, 450, 85, 571), (304, 292, 412, 383), (251, 527, 359, 618), (66, 139, 188, 246), (1, 117, 83, 222)]",22,0.0,0.179,0.227,"[(1, 239, 134, 400), (1, 416, 24, 442), (1, 453, 78, 541), (1, 561, 96, 639), (1, 1, 42, 74), (10, 1, 65, 78), (55, 227, 111, 293), (59, 382, 139, 439), (1, 115, 112, 197), (76, 114, 215, 302), (113, 525, 207, 620), (179, 1, 305, 71), (235, 433, 348, 509), (242, 415, 320, 458), (280, 239, 405, 359), (295, 549, 412, 639), (266, 536, 324, 621), (330, 363, 404, 432), (357, 476, 404, 522), (378, 1, 479, 136), (385, 457, 479, 593), (412, 257, 479, 361)]",16,0.545,0.227,0.312,"[(1, 239, 134, 400), (1, 453, 78, 541), (1, 561, 96, 639), (10, 1, 65, 78), (59, 382, 139, 439), (1, 115, 112, 197), (113, 525, 207, 620), (179, 1, 305, 71), (235, 433, 348, 509), (242, 415, 320, 458), (280, 239, 405, 359), (295, 549, 412, 639), (330, 363, 404, 432), (378, 1, 479, 136), (385, 457, 479, 593), (412, 257, 479, 361)]",0,[],8,0.0,0.0,0.0,"[(187, 88, 362, 267), (198, 91, 212, 112), (325, 80, 332, 85), (351, 96, 356, 101), (356, 196, 363, 203), (362, 144, 375, 155), (362, 172, 369, 180), (364, 111, 378, 134)]",7,0.0,0.0,0.0,"[(198, 91, 212, 112), (325, 80, 332, 85), (351, 96, 356, 101), (356, 196, 363, 203), (362, 144, 375, 155), (362, 172, 369, 180), (364, 111, 378, 134)]"
BloodImage_00009.jpg,13,"[(322, 449, 425, 567), (97, 452, 200, 570), (91, 323, 194, 441), (90, 4, 199, 123), (19, 168, 144, 287), (289, 237, 439, 320), (324, 356, 444, 447), (1, 456, 104, 547), (1, 1, 95, 114), (395, 126, 479, 226), (195, 363, 279, 463), (213, 297, 297, 397), (1, 295, 67, 386)]",23,0.231,0.286,0.348,"[(1, 4, 90, 105), (1, 118, 64, 218), (1, 172, 136, 279), (1, 296, 58, 390), (1, 461, 51, 535), (1, 580, 33, 639), (19, 532, 130, 639), (94, 462, 256, 639), (96, 390, 129, 421), (105, 36, 210, 117), (110, 256, 209, 416), (113, 1, 158, 21), (210, 322, 296, 450), (211, 1, 374, 60), (172, 82, 259, 214), (264, 70, 303, 106), (299, 239, 432, 307), (328, 316, 445, 433), (337, 456, 421, 564), (341, 577, 463, 639), (391, 142, 479, 228), (442, 288, 479, 346), (469, 489, 479, 532)]",16,0.769,0.381,0.5,"[(1, 4, 90, 105), (1, 118, 64, 218), (1, 172, 136, 279), (1, 296, 58, 390), (1, 461, 51, 535), (19, 532, 130, 639), (105, 36, 210, 117), (110, 256, 209, 416), (210, 322, 296, 450), (211, 1, 374, 60), (172, 82, 259, 214), (299, 239, 432, 307), (328, 316, 445, 433), (337, 456, 421, 564), (341, 577, 463, 639), (391, 142, 479, 228)]",0,[],5,0.0,0.0,0.0,"[(176, 6, 200, 28), (220, 31, 400, 249), (395, 398, 408, 416), (420, 105, 426, 111), (422, 465, 439, 480)]",4,0.0,0.0,0.0,"[(176, 6, 200, 28), (395, 398, 408, 416), (420, 105, 426, 111), (422, 465, 439, 480)]"
